,Date,Open,High,Low,Close,Crypto
3540,2021-03-26,51989.0,54262.0,51309.0,54014.0,BTC
3541,2021-03-26,1604.02,1675.0,1580.08,1664.68,ETH
3542,2021-03-26,174.39,183.04,171.5,182.91,LTC
3543,2021-03-27,54014.0,56254.0,53986.0,55916.0,BTC
3544,2021-03-27,1665.15,1718.52,1665.15,1718.5,ETH
3545,2021-03-27,182.98,184.51,177.76,183.34,LTC
3546,2021-03-28,55909.0,56616.0,54740.0,54863.0,BTC
3547,2021-03-28,1718.51,1731.63,1661.91,1667.28,ETH
3548,2021-03-28,183.34,187.19,180.08,180.89,LTC
3549,2021-03-29,54863.0,58335.0,54830.0,57176.0,BTC
3550,2021-03-29,1668.53,1840.51,1664.09,1806.4,ETH
3551,2021-03-29,180.89,197.42,180.89,193.9,LTC
3552,2021-03-30,57250.0,59408.0,57078.0,58671.0,BTC
3553,2021-03-30,1808.81,1858.98,1787.2,1840.99,ETH
3554,2021-03-30,194.04,199.97,190.26,194.45,LTC
3555,2021-03-31,58671.0,59831.0,57054.0,58932.0,BTC
3556,2021-03-31,1840.97,1940.0,1777.17,1940.0,ETH
3557,2021-03-31,194.5,198.9,187.65,195.72,LTC
3558,2021-04-01,58932.0,59441.0,58021.0,58855.0,BTC
3559,2021-04-01,1940.25,1982.53,1899.37,1969.99,ETH
3560,2021-04-01,195.81,204.96,194.31,201.28,LTC
3561,2021-04-02,58862.0,60118.0,58526.0,58655.0,BTC
3562,2021-04-02,1969.99,2105.81,1950.3,2092.13,ETH
3563,2021-04-02,201.2,211.52,199.8,207.16,LTC
3564,2021-04-03,58655.0,59797.0,57848.0,58063.0,BTC
3565,2021-04-03,2091.0,2143.99,2006.37,2061.32,ETH
3566,2021-04-03,206.64,217.64,200.19,202.9,LTC
3567,2021-04-04,58038.0,58463.0,56504.0,58030.0,BTC
3568,2021-04-04,2059.01,2091.55,1983.34,2061.67,ETH
3569,2021-04-04,202.46,204.72,192.59,201.23,LTC
3570,2021-04-05,58030.0,59231.0,56886.0,58810.0,BTC
3571,2021-04-05,2061.67,2129.92,2004.69,2104.42,ETH
3572,2021-04-05,201.23,220.72,198.05,217.54,LTC
3573,2021-04-06,58800.0,59469.0,57391.0,58244.0,BTC
3574,2021-04-06,2106.15,2149.55,2047.32,2122.45,ETH
3575,2021-04-06,217.54,244.28,215.34,242.99,LTC
3576,2021-04-07,58244.0,58624.0,55494.0,56157.0,BTC
3577,2021-04-07,2121.69,2126.17,1937.28,1983.56,ETH
3578,2021-04-07,242.94,243.26,211.96,219.99,LTC
3579,2021-04-08,56221.0,58134.0,55752.0,57681.0,BTC
3580,2021-04-08,1988.0,2077.13,1953.19,2054.91,ETH
3581,2021-04-08,220.3,227.38,217.17,223.72,LTC
3582,2021-04-09,57677.0,58879.0,57473.0,58354.0,BTC
3583,2021-04-09,2055.02,2100.41,2045.0,2070.83,ETH
3584,2021-04-09,223.73,228.98,221.62,223.4,LTC
3585,2021-04-10,58354.0,61197.0,57876.0,58621.0,BTC
3586,2021-04-10,2069.34,2194.68,2056.78,2090.86,ETH
3587,2021-04-10,223.42,249.41,218.7,238.59,LTC
3588,2021-04-11,58606.0,60649.0,58599.0,59607.0,BTC
3589,2021-04-11,2087.48,2163.94,2082.37,2144.51,ETH
3590,2021-04-11,237.79,263.1,237.77,250.86,LTC
3591,2021-04-12,59607.0,61224.0,59429.0,60011.0,BTC
3592,2021-04-12,2141.68,2199.62,2104.03,2145.92,ETH
3593,2021-04-12,250.29,258.51,240.37,244.36,LTC
3594,2021-04-13,60000.0,63621.0,59783.0,63196.0,BTC
3595,2021-04-13,2146.5,2315.0,2137.08,2301.0,ETH
3596,2021-04-13,244.69,273.14,243.52,266.42,LTC
3597,2021-04-14,63196.0,64788.0,61368.0,62357.0,BTC
3598,2021-04-14,2301.0,2399.07,2269.33,2369.54,ETH
3599,2021-04-14,266.42,282.8,257.11,266.98,LTC
3600,2021-04-15,62403.0,63649.0,62034.0,63381.0,BTC
3601,2021-04-15,2369.99,2499.99,2369.99,2499.5,ETH
3602,2021-04-15,266.98,288.57,266.34,287.62,LTC
